,County,Total Positive Cases,Total Deaths,Population,Rate of Infection,Pop Density,Mean Household Size,Congregate Living Population,No. of Cases in Nursing Homes,No. of Nursing Homes in County,"Nursing Home Cases, % of Total",Cases per number of Nursing Home
31,Jackson,940,10,9858.0,0.09535402718604179,14.3,2.21577989995452,113.0,58.0,3.0,0.06170212765957447,19.333333333333332
32,Kanabec,1078,19,16310.0,0.06609442060085836,30.1,2.47640345465762,253.0,93.0,2.0,0.0862708719851577,46.5
33,Kandiyohi,5801,74,43193.0,0.13430416965712036,49.1,2.4500552036725,1030.0,461.0,7.0,0.07946905705912774,65.85714285714286
34,Kittson,409,21,4299.0,0.09513840428006513,4.1,2.1699481865285,111.0,99.0,2.0,0.24205378973105135,49.5
35,Koochiching,620,11,12430.0,0.0498793242156074,4.2,2.1103986135182,253.0,10.0,2.0,0.016129032258064516,5.0
36,Lac qui Parle,686,16,6629.0,0.10348468848996832,9.1,2.13696369636964,154.0,84.0,2.0,0.12244897959183673,42.0
37,Lake,742,18,10632.0,0.06978931527464259,2.2,2.12528055498878,216.0,96.0,3.0,0.1293800539083558,32.0
38,Lake of the Woods,220,1,3798.0,0.057925223802001054,3.6,2.16300578034682,56.0,8.0,1.0,0.03636363636363636,8.0
39,Le Sueur,2369,20,28894.0,0.08198934034747699,58.5,2.5389869599929,272.0,114.0,7.0,0.048121570282819756,16.285714285714285
40,Lincoln,512,2,5648.0,0.0906515580736544,10.6,2.18816990869393,136.0,26.0,3.0,0.05078125,8.666666666666666
41,Lyon,3136,44,25635.0,0.12233274819582601,35.6,2.39198841698842,854.0,274.0,8.0,0.08737244897959184,34.25
42,Mahnomen,441,7,5529.0,0.07976125881714596,9.4,2.71144278606965,79.0,10.0,2.0,0.022675736961451247,5.0
43,Marshall,780,15,9342.0,0.08349389852280026,5.2,2.3286432160804,74.0,51.0,2.0,0.06538461538461539,25.5
